Clinda;Log clindamicina;DifusiÃ³n;;LogDif
>256;8;6;;2,58496250072116
8;3;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
0,5;-1;23;minor;4,52356195605701
0,5;-1;29;;4,85798099512757
64;6;6;;2,58496250072116
>256;8;6;;2,58496250072116
16;4;6;;2,58496250072116
8;3;6;;2,58496250072116
0,5;-1;36;;5,16992500144231
>256;8;6;;2,58496250072116
2;1;23;;4,52356195605701
0,25;-2;30;;4,90689059560852
>256;8;6;;2,58496250072116
256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
2;1;19;;4,24792751344359
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
64;6;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
1;0;21;;4,39231742277876
>256;8;6;;2,58496250072116
2;1;19;;4,24792751344359
64;6;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
8;3;13;;3,70043971814109
2;1;16;;4
128;7;6;;2,58496250072116
64;6;6;;2,58496250072116
32;5;6;;2,58496250072116
128;7;6;;2,58496250072116
32;5;6;;2,58496250072116
4;2;6;;2,58496250072116
128;7;15;minor;3,90689059560852
128;7;6;;2,58496250072116
32;5;6;;2,58496250072116
0,032;-5;27;;4,75488750216347
2;1;6;minor;2,58496250072116
128;7;6;;2,58496250072116
128;7;6;;2,58496250072116
32;5;6;;2,58496250072116
256;8;6;;2,58496250072116
32;5;6;;2,58496250072116
128;7;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
32;5;10;;3,32192809488736
1;0;14;minor;3,8073549220576
>256;8;26;mayor;4,70043971814109
>256;8;6;;2,58496250072116
4;2;6;;2,58496250072116
0,25;-2;28;;4,8073549220576
2;1;6;minor;2,58496250072116
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
256;8;6;;2,58496250072116
0,5;-1;6;mayor;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
0,063;-4;30;;4,90689059560852
>256;8;6;;2,58496250072116
1;0;28;minor;4,8073549220576
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;6;;2,58496250072116
0,064;-4;32;;5
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;20;;4,32192809488736
0,5;-1;28;;4,8073549220576
32;5;6;;2,58496250072116
256;8;6;;2,58496250072116
256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
4;2;26;vmayor;4,70043971814109
>256;8;6;;2,58496250072116
0,5;-1;25;;4,64385618977472
8;3;14;;3,8073549220576
8;3;14;;3,8073549220576
>256;8;6;;2,58496250072116
32;5;6;;2,58496250072116
>256;8;6;;2,58496250072116
128;7;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
16;4;17;minor;4,08746284125034
0,25;-2;6;vmayor;2,58496250072116
0,25;-2;28;;4,8073549220576
>256;8;0,25;;-2
>256;8;6;;2,58496250072116
32;5;6;;2,58496250072116
>256;8;6;;2,58496250072116
0,064;-4;44;;5,4594316186373
64;6;6;;2,58496250072116
4;2;6;;2,58496250072116
4;2;6;;2,58496250072116
4;2;6;;2,58496250072116
4;2;6;;2,58496250072116
64;6;6;;2,58496250072116
32;5;6;;2,58496250072116
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
<0,032;-5;6;vamyor;2,58496250072116
256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116
0,25;-2;32;;5
>256;8;6;;2,58496250072116
>256;8;6;;2,58496250072116